"Station Name","CALGARY INT'L CS"
"Province","ALBERTA"
"Latitude","51.11"
"Longitude","-114.00"
"Elevation","1081.90"
"Climate Identifier","3031094"
"WMO Identifier","71393"
"TC Identifier","PCI"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2016-01-01","2016","01","01","†","0.4","","-12.9","","-6.3","","24.3","","0.0","","","M","","M","0.0","","11","","","","<31",""
"2016-01-02","2016","01","02","†","-1.1","","-15.2","","-8.2","","26.2","","0.0","","","M","","M","0.0","","10","","","","<31",""
"2016-01-03","2016","01","03","†","-1.8","","-16.6","","-9.2","","27.2","","0.0","","","M","","M","0.0","","11","","","","<31",""
"2016-01-04","2016","01","04","†","-1.7","","-13.1","","-7.4","","25.4","","0.0","","","M","","M","0.0","","11","","","","<31",""
"2016-01-05","2016","01","05","†","-7.3","","-15.3","","-11.3","","29.3","","0.0","","","M","","M","0.0","","11","","","","<31",""
"2016-01-06","2016","01","06","†","-9.1","","-17.4","","-13.3","","31.3","","0.0","","","M","","M","0.0","","11","","36","","37",""
"2016-01-07","2016","01","07","†","-9.9","","-16.7","","-13.3","","31.3","","0.0","","","M","","M","1.3","","11","","34","","33",""
"2016-01-08","2016","01","08","†","-13.4","","-23.1","","-18.3","","36.3","","0.0","","","M","","M","0.2","","11","","","","<31",""
"2016-01-09","2016","01","09","†","-10.5","","-26.0","","-18.3","","36.3","","0.0","","","M","","M","0.2","","12","","","","<31",""
"2016-01-10","2016","01","10","†","-1.2","","-16.8","","-9.0","","27.0","","0.0","","","M","","M","0.0","","11","","","","<31",""
"2016-01-11","2016","01","11","†","-1.8","","-9.7","","-5.8","","23.8","","0.0","","","M","","M","0.0","","11","","","","<31",""
"2016-01-12","2016","01","12","†","5.2","","-10.6","","-2.7","","20.7","","0.0","","","M","","M","0.0","","12","","28","","50",""
"2016-01-13","2016","01","13","†","7.7","","-5.2","","1.3","","16.7","","0.0","","","M","","M","0.0","","8","","28","","44",""
"2016-01-14","2016","01","14","†","0.9","","-4.0","","-1.6","","19.6","","0.0","","","M","","M","0.0","","7","","35","","37",""
"2016-01-15","2016","01","15","†","-3.8","","-13.2","","-8.5","","26.5","","0.0","","","M","","M","0.7","","8","","3","","33",""
"2016-01-16","2016","01","16","†","-13.2","","-18.0","","-15.6","","33.6","","0.0","","","M","","M","0.2","","7","","","","<31",""
"2016-01-17","2016","01","17","†","-12.7","","-18.3","","-15.5","","33.5","","0.0","","","M","","M","0.7","","9","","","","<31",""
"2016-01-18","2016","01","18","†","5.3","","-12.7","","-3.7","","21.7","","0.0","","","M","","M","0.0","","8","","1","","37",""
