,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C)
0,2015-01-01,2015,1,1,-3.7,-13.9,-8.8
1,2015-01-02,2015,1,2,0.2,-5.5,-2.7
2,2015-01-03,2015,1,3,-4.1,-14.0,-9.1
3,2015-01-04,2015,1,4,-1.5,-14.4,-8.0
4,2015-01-05,2015,1,5,9.4,-2.9,3.3
5,2015-01-06,2015,1,6,-3.0,-8.8,-5.9
6,2015-01-07,2015,1,7,-6.4,-8.7,-7.6
7,2015-01-08,2015,1,8,-6.8,-12.8,-9.8
8,2015-01-09,2015,1,9,2.5,-15.3,-6.4
9,2015-01-10,2015,1,10,3.6,-7.9,-2.2
10,2015-01-11,2015,1,11,-7.1,-12.2,-9.7
11,2015-01-12,2015,1,12,0.5,-9.9,-4.7
12,2015-01-13,2015,1,13,0.7,-15.2,-7.3
13,2015-01-14,2015,1,14,-5.6,-15.3,-10.5
14,2015-01-15,2015,1,15,-2.3,-6.6,-4.5
15,2015-01-16,2015,1,16,1.7,-3.2,-0.8
16,2015-01-17,2015,1,17,1.1,-11.3,-5.1
17,2015-01-18,2015,1,18,-4.6,-12.0,-8.3
18,2015-01-19,2015,1,19,3.8,-8.1,-2.2
19,2015-01-20,2015,1,20,6.3,1.6,4.0
20,2015-01-21,2015,1,21,2.4,-7.2,-2.4
21,2015-01-22,2015,1,22,-2.5,-7.7,-5.1
22,2015-01-23,2015,1,23,1.3,-9.0,-3.9
23,2015-01-24,2015,1,24,0.9,-9.4,-4.3
24,2015-01-25,2015,1,25,8.9,0.2,4.6
25,2015-01-26,2015,1,26,1.8,-7.8,-3.0
26,2015-01-27,2015,1,27,-0.3,-10.1,-5.2
27,2015-01-28,2015,1,28,10.0,-0.3,4.9
28,2015-01-29,2015,1,29,5.4,-4.0,0.7
29,2015-01-30,2015,1,30,0.2,-3.8,-1.8
30,2015-01-31,2015,1,31,-0.6,-3.6,-2.1
31,2015-02-01,2015,2,1,7.1,-4.4,1.4
32,2015-02-02,2015,2,2,-4.5,-8.2,-6.4
33,2015-02-03,2015,2,3,6.5,-8.2,-0.9
34,2015-02-04,2015,2,4,-6.5,-11.9,-9.2
35,2015-02-05,2015,2,5,0.4,-13.2,-6.4
36,2015-02-06,2015,2,6,4.9,-6.6,-0.9
37,2015-02-07,2015,2,7,-4.4,-9.6,-7.0
38,2015-02-08,2015,2,8,-2.6,-13.4,-8.0
39,2015-02-09,2015,2,9,-8.8,-12.1,-10.5
40,2015-02-10,2015,2,10,-3.7,-9.2,-6.5
41,2015-02-11,2015,2,11,-3.8,-9.9,-6.9
42,2015-02-12,2015,2,12,-1.9,-9.1,-5.5
43,2015-02-13,2015,2,13,0.8,-5.1,-2.2
44,2015-02-14,2015,2,14,-3.9,-9.0,-6.5
45,2015-02-15,2015,2,15,2.5,-13.1,-5.3
46,2015-02-16,2015,2,16,4.0,-6.7,-1.4
47,2015-02-17,2015,2,17,-4.1,-7.4,-5.8
48,2015-02-18,2015,2,18,-2.8,-6.7,-4.8
49,2015-02-19,2015,2,19,-0.5,-2.9,-1.7
50,2015-02-20,2015,2,20,7.7,-2.6,2.6
51,2015-02-21,2015,2,21,-2.4,-6.9,-4.7
52,2015-02-22,2015,2,22,5.3,-6.5,-0.6
53,2015-02-23,2015,2,23,4.2,-2.8,0.7
54,2015-02-24,2015,2,24,-1.9,-12.6,-7.3
55,2015-02-25,2015,2,25,-1.3,-13.1,-7.2
