Date,Max Temp,Min Temp
1/5/2015,-25,-30
1/6/2015,-20,-25
1/7/2015,-14.5,-20
1/8/2015,-16,-17
1/12/2015,-14,-22
1/13/2015,-6.5,-16
1/14/2015,2,-2
1/19/2015,2,-1
1/20/2015,0.5,-1
1/21/2015,-2,-10
1/22/2015,7,4
1/26/2015,4.5,3
1/27/2015,1.8,-1
2/2/2015,-16.5,-18
2/3/2015,-16.5,-20
2/4/2015,-16,-20
2/5/2015,-15,-17
2/9/2015,-15.5,-18
2/10/2015,-13,-17
2/11/2015,-13.5,-16
2/12/2015,-5.5,-16
2/13/2015,0.5,-5
2/14/2015,-3.5,-10
2/17/2015,-10,-15
2/18/2015,-1,-8
2/19/2015,1.3,-5
2/23/2015,4,-2
2/24/2015,2.5,0
2/25/2015,-12,-16
2/26/2015,-14.5,-21
3/2/2015,-7.5,-10
3/3/2015,-15,-20
3/4/2015,-11.5,-20
3/5/2015,-4.5,-11
3/9/2015,5,-1
3/10/2015,2,-1
3/11/2015,2,-2
3/12/2015,5.5,-2
3/13/2015,8.5,2
3/16/2015,-1.5,-10
3/17/2015,1,-5
3/18/2015,3,-5
3/19/2015,1.5,-2
3/23/2015,-6,-12
3/24/2015,-2.5,-10
3/25/2015,0.5,-7
3/26/2015,4.5,-2
3/30/2015,9.5,4
3/31/2015,9.5,0
4/1/2015,2,1
4/7/2015,2.5,-4
4/8/2015,6,-2
4/9/2015,9.5,0
4/10/2015,10,0
4/13/2015,6,-1
4/14/2015,7.5,4
4/15/2015,8,0
4/16/2015,8,2
4/20/2015,9,-2
4/21/2015,12,4
4/22/2015,15,8
4/23/2015,6.5,3
4/27/2015,8.5,-5
4/28/2015,14.5,3
4/29/2015,11,7
4/30/2015,8.5,0
5/4/2015,10.5,4
5/5/2015,8.5,4
5/6/2015,1,0
5/7/2015,3.5,-2
5/11/2015,7,-2
5/12/2015,9.3,0
5/13/2015,10,3
5/14/2015,11,3
5/18/2015,9,0
5/19/2015,12.5,3
5/20/2015,13.3,3
5/21/2015,16,7
5/25/2015,17.8,7
5/26/2015,16.3,7
5/27/2015,17.8,10
5/28/2015,11,7
6/1/2015,12.3,5
6/2/2015,14.5,7
6/3/2015,16,8
6/4/2015,16.8,10
6/8/2015,20,15
6/9/2015,18,10
6/10/2015,17.5,10
6/11/2015,18,10
6/15/2015,14,4
6/16/2015,17.5,9
6/17/2015,13,7
6/18/2015,15.5,7
6/22/2015,15,5
6/23/2015,17,9
6/24/2015,19,9
6/25/2015,19.8,9
6/29/2015,18,13
7/6/2015,16.5,12
7/7/2015,15.3,8
7/8/2015,21.3,10
7/9/2015,24.5,14
7/13/2015,21.8,17
7/14/2015,20.3,13
7/15/2015,20.5,14
7/16/2015,16.8,12
7/20/2015,20.5,14
7/21/2015,19,14
7/22/2015,16,10
7/23/2015,16,9
7/27/2015,16.8,10
7/28/2015,17.5,10
7/29/2015,17,10
7/30/2015,17.8,10
8/4/2015,20,18
8/5/2015,17,15
8/6/2015,16,9
8/10/2015,21,12
8/11/2015,22,13
8/12/2015,22,13
8/13/2015,22,13
8/17/2015,14,5
8/18/2015,16,9
8/19/2015,17.5,13
8/20/2015,16.5,10
8/24/2015,16.5,9
8/25/2015,16.5,9
8/26/2015,16.5,9
8/27/2015,18.8,10
8/31/2015,15.5,7
9/1/2015,14,7
9/4/2015,10.5,6
9/14/2015,10.5,9
9/15/2015,6.5,5
9/21/2015,10.5,9
9/22/2015,8,-1
9/23/2015,11,4
9/24/2015,12.5,3
9/28/2015,8.5,0
9/29/2015,11,2
9/30/2015,15.5,7
10/1/2015,17.5,10
10/2/2015,16,10
10/5/2015,5,-3
10/6/2015,7,0
10/7/2015,11.5,5
10/8/2015,14.5,5
10/13/2015,10.5,5
10/14/2015,9.5,6
10/15/2015,6,-2
10/19/2015,11.5,6
10/20/2015,8.5,5
10/21/2015,11.5,5
10/22/2015,10,6
10/23/2015,5,-2
10/26/2015,4,0
10/27/2015,2.5,0
10/28/2015,1,-6
10/29/2015,6,0
11/2/2015,0.5,-1
11/3/2015,1,0
11/4/2015,-1,-6
11/5/2015,1,-2
11/6/2015,1,-4
11/9/2015,0.5,-2
11/16/2015,1,0
11/17/2015,1,-2
11/18/2015,-4,-4
11/19/2015,-7,-10
11/23/2015,-0.5,-2
11/24/2015,-6.5,-7
11/25/2015,-17.5,-22
11/26/2015,-10,-16
11/30/2015,-3.5,-5
12/1/2015,-6.5,-15
12/2/2015,3,-2
12/8/2015,-0.5,-5
12/9/2015,-1.5,-3
12/10/2015,-0.5,-4
12/14/2015,-4.5,-5
12/15/2015,-6.5,-10
12/16/2015,-10,-15
12/17/2015,-10,-15
12/21/2015,-7.5,-10
12/22/2015,-10,-10
12/23/2015,-14.5,-20
12/24/2015,-15,-17
12/25/2015,-16.5,-20
12/26/2015,-16,-21
12/27/2015,-16.5,-19
12/28/2015,-16,-18
12/29/2015,-14,-18
12/30/2015,-13.5,-22
12/31/2015,-8,-16
