Date,Max Temp,Min Temp
1/1/2015,-3.9,-6.9
1/2/2015,-2.3,-4
1/3/2015,-0.4,-3.5
1/4/2015,0.2,-4.7
1/5/2015,-8.6,-12.5
1/6/2015,-9.9,-12.1
1/7/2015,-13,-17.6
1/8/2015,-11.3,-14.8
1/9/2015,-8.7,-12.3
1/10/2015,-11.8,-14.6
1/11/2015,-4.3,-9
1/12/2015,-7.6,-15.4
1/13/2015,-15,-19.5
1/14/2015,-7.6,-11.6
1/15/2015,-6.5,-10.8
1/16/2015,-6.1,-8.4
1/18/2015,3.1,0.7
1/19/2015,-3.3,-7.7
1/20/2015,-8.3,-11.7
1/21/2015,-6.6,-10.5
1/22/2015,-3.3,-7
1/23/2015,-1.2,-3.6
1/24/2015,-1.5,-4.2
1/25/2015,-6.6,-11.2
1/26/2015,-10.2,-13.1
1/27/2015,-7.9,-11.3
1/28/2015,-6.3,-11.8
1/29/2015,-1.4,-3.9
1/30/2015,-7.3,-13.7
1/31/2015,-7.9,-13.8
2/1/2015,-7.8,-13.9
2/2/2015,-12.7,-14.7
2/3/2015,-9.2,-14
2/4/2015,-4.3,-7.9
2/5/2015,-10.8,-13.7
2/6/2015,-7.4,-11.4
2/7/2015,-4.6,-7.5
2/8/2015,-9.6,-12.4
2/9/2015,-10.8,-12.4
2/10/2015,-6.5,-9.3
2/11/2015,-3.3,-5.2
2/12/2015,-9.7,-17.8
2/13/2015,-14.6,-21.5
2/14/2015,-12.7,-19.7
2/15/2015,-22.2,-25.1
2/16/2015,-17.5,-22.4
2/17/2015,-10.4,-13.3
2/18/2015,-10.2,-13.4
2/19/2015,-16.9,-20.5
2/20/2015,-16.3,-21.3
2/21/2015,-8.9,-11.4
2/22/2015,-9.1,-15.4
2/23/2015,-17.2,-20.2
2/24/2015,-12.9,-18.4
2/25/2015,-10.4,-13.6
2/26/2015,-12.4,-15.6
2/27/2015,-12.8,-17.3
2/28/2015,-9.5,-14.6
3/1/2015,-5.6,-8.1
3/2/2015,-4.7,-8.1
3/3/2015,-4.2,-9.7
3/4/2015,-4.3,-10.2
3/5/2015,-11.9,-14.8
3/6/2015,-9.9,-15.1
3/7/2015,-3,-5.6
3/8/2015,0.1,-3.1
3/9/2015,3,-0.9
3/10/2015,2.6,-0.3
3/11/2015,5.4,1.9
3/12/2015,1.4,-1
3/13/2015,2.2,0
3/14/2015,4.3,2.5
3/15/2015,3.9,1.2
3/16/2015,5.3,0.9
3/17/2015,1.5,-3.4
3/18/2015,-0.9,-4.9
3/19/2015,-2,-5.4
3/20/2015,3.6,-0.6
3/21/2015,0.7,-5.2
3/22/2015,-5.4,-9.4
3/23/2015,-6.7,-10.6
3/24/2015,-3.4,-8
3/25/2015,2.5,-1.1
3/26/2015,3.4,1.1
3/27/2015,-2.5,-7.1
3/28/2015,-5.3,-10
3/29/2015,-0.8,-6.2
3/30/2015,4.2,0
3/31/2015,1.8,-1
4/1/2015,2.4,-1.5
4/2/2015,8.2,2.5
4/3/2015,7.9,2.7
4/4/2015,3.3,-0.2
4/5/2015,0.6,-0.9
4/6/2015,4.7,1.5
4/7/2015,4.8,2.4
4/8/2015,2.9,1.5
4/9/2015,6.5,2.2
4/10/2015,11,4.8
4/11/2015,7.6,3.4
4/12/2015,10.5,4
4/13/2015,14.2,7.8
4/14/2015,11.8,6.1
4/15/2015,10.5,6.3
4/16/2015,9.8,5.3
4/17/2015,14.9,8.9
4/18/2015,14.9,9.4
4/19/2015,8.4,4.6
4/20/2015,10,4.7
4/21/2015,8,4.7
4/22/2015,5.2,1.1
4/23/2015,1.8,0
4/24/2015,3.7,-1
4/25/2015,5.1,-0.1
4/26/2015,8.5,3.8
4/27/2015,9.3,5.3
4/28/2015,12.5,5.9
4/29/2015,13.3,7.5
4/30/2015,12.2,8.6
5/1/2015,15.8,10.7
5/2/2015,15.9,10.1
5/3/2015,17.9,11.3
5/4/2015,17.2,12.8
5/5/2015,13.3,10.4
5/6/2015,15.6,10
5/7/2015,17.6,12.1
5/8/2015,19.1,13.3
5/9/2015,20.7,14.4
5/10/2015,20.4,15.4
5/11/2015,15.3,12.5
5/12/2015,12.5,7.8
5/13/2015,10.5,6.7
5/14/2015,11.6,5.5
5/15/2015,12.1,10.1
5/16/2015,18.9,11.9
5/17/2015,17.6,13.5
5/18/2015,20.7,14.6
5/19/2015,12.1,4.9
5/20/2015,10,4.1
5/21/2015,14.3,9.3
5/22/2015,10.9,5.3
5/23/2015,11.4,4.1
5/24/2015,18,10.5
5/25/2015,20.8,16.4
5/26/2015,22.5,17.9
5/27/2015,20.7,15.9
5/28/2015,20.8,15.7
5/29/2015,19.9,16.1
5/30/2015,20,11.9
5/31/2015,9.7,7.4
6/1/2015,12.3,9.5
6/2/2015,14.1,10
6/3/2015,14.1,10.3
6/4/2015,17,11.9
6/5/2015,19,13.5
6/6/2015,13.8,11
6/7/2015,14.8,10.1
6/8/2015,19.6,16.4
6/9/2015,19,14.9
6/10/2015,20.5,13.5
6/11/2015,18.5,13.3
6/12/2015,16.8,14.9
6/13/2015,18.8,15.2
6/14/2015,17.4,15.7
6/15/2015,20.3,15.8
6/16/2015,22.4,17.6
6/17/2015,18.3,15.7
6/18/2015,20.5,14.4
6/19/2015,17.5,15.2
6/20/2015,17.5,13
6/21/2015,22.6,16.6
6/22/2015,22,17.3
6/23/2015,21.6,16.5
6/24/2015,19.5,14.4
6/25/2015,20.2,17.4
6/26/2015,19.2,15.7
6/27/2015,16.2,12.8
6/28/2015,13.9,12.2
6/29/2015,19.3,14.3
6/30/2015,17.5,15.6
7/1/2015,19.5,14.8
7/2/2015,17.6,14
7/3/2015,17.1,11.4
7/4/2015,18.7,13.3
7/5/2015,21.2,15.7
7/6/2015,22.1,17.7
7/7/2015,22.5,16.9
7/8/2015,17.9,14.7
7/9/2015,19.1,15.7
7/10/2015,19.7,13.6
7/11/2015,22.4,16.8
7/12/2015,23.6,19
7/13/2015,23.7,19.3
7/14/2015,20.7,16
7/15/2015,17.4,12.6
7/16/2015,18.7,14.8
7/17/2015,18.9,17.1
7/18/2015,24.3,19.4
7/19/2015,25.4,20.4
7/20/2015,23.3,18.1
7/21/2015,22.8,18.8
7/22/2015,20.5,15.3
7/23/2015,20.7,14.5
7/24/2015,21.4,14.7
7/25/2015,24.8,20.6
7/26/2015,24.4,19.2
7/27/2015,25.8,20.2
7/28/2015,26.1,20.4
7/29/2015,27.1,21.9
7/30/2015,26,21.2
7/31/2015,24.6,18.2
8/1/2015,22.8,17.8
8/2/2015,22.6,17
8/3/2015,21.6,15.8
8/4/2015,21.3,16.6
8/5/2015,19.5,15.2
8/6/2015,18.8,13.9
8/7/2015,20.5,16.8
8/8/2015,20.1,17.1
8/9/2015,19.9,15.5
8/10/2015,19.8,16.7
8/11/2015,22.1,17.9
8/12/2015,19.6,15.6
8/13/2015,19.2,13.2
8/14/2015,22.3,19.8
8/15/2015,24,19.9
8/16/2015,24.9,19.7
8/17/2015,26.3,20.9
8/18/2015,23.6,20.8
8/19/2015,25.3,21.4
8/20/2015,22.4,18.9
8/21/2015,19.2,15.3
8/22/2015,18.9,14
8/23/2015,20.2,15.9
8/24/2015,20.3,16.8
8/25/2015,18.1,15.7
8/26/2015,18.2,15.6
8/27/2015,17.2,14.2
8/28/2015,18.2,12.9
8/29/2015,20.4,15.6
8/30/2015,22.8,19.6
8/31/2015,24.5,18.9
9/1/2015,23.7,18.7
9/2/2015,26,20.4
9/3/2015,26.2,23
9/4/2015,24.3,21.6
9/5/2015,25,20.1
9/6/2015,25.8,21.3
9/7/2015,27.2,21.5
9/8/2015,25.9,22.5
9/9/2015,21.1,17.1
9/10/2015,18.9,14.3
9/11/2015,18.4,13.1
9/12/2015,13.9,11.4
9/13/2015,13.1,10.4
9/14/2015,16.6,9.4
9/15/2015,20.2,13.5
9/16/2015,22.1,16.4
9/17/2015,22.2,16.8
9/18/2015,21.8,17.3
9/19/2015,18.6,13
9/20/2015,14.3,10.5
9/21/2015,16.6,12.5
9/22/2015,17.2,12
9/23/2015,18.9,13.8
9/24/2015,19.3,16.5
