"Station Name","UNIVERSITY OF ALBERTA METABOLIC CENTRE"
"Province","ALBERTA"
"Latitude","53.52"
"Longitude","-113.53"
"Elevation","668.40"
"Climate Identifier","301FFNJ"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2015-01-01","2015","01","01","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"2015-01-02","2015","01","02","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"2015-01-03","2015","01","03","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"2015-01-04","2015","01","04","†","-22.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"2015-01-05","2015","01","05","†","-20.0","","-30.0","","-25.0","","43.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2015-01-06","2015","01","06","†","-15.0","","-25.0","","-20.0","","38.0","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2015-01-07","2015","01","07","†","-9.0","","-20.0","","-14.5","","32.5","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2015-01-08","2015","01","08","†","-15.0","","-17.0","","-16.0","","34.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2015-01-09","2015","01","09","†","","M","-30.0","","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"2015-01-10","2015","01","10","†","","M","","M","","M","","M","","M","0.0","","3.0","","3.0","","0","","","","",""
"2015-01-11","2015","01","11","†","-15.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"2015-01-12","2015","01","12","†","-6.0","","-22.0","","-14.0","","32.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2015-01-13","2015","01","13","†","3.0","","-16.0","","-6.5","","24.5","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"2015-01-14","2015","01","14","†","6.0","","-2.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2015-01-15","2015","01","15","†","","M","-7.0","","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
